Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
20,2021,Cleveland Browns (CLE),43,13,6,12,2,0,0,17,104.0,6.1,35.2%
17,2020,Cleveland Browns (CLE),38,11,10,16,2,2,0,16,97.0,6.1,35.2%
25,2019,Cleveland Browns (CLE),38,14,6,12,1,0,0,16,91.0,5.7,35.2%
20,2018,Cleveland Browns (CLE),37,17,14,16,0,1,0,16,100.0,6.3,35.2%
30,2017,Cleveland Browns (CLE),34,7,6,14,1,0,0,16,74.0,4.6,35.2%
32,2016,Cleveland Browns (CLE),26,10,3,5,1,0,0,16,48.0,3.0,35.2%
29,2015,Cleveland Browns (CLE),29,11,10,14,2,0,1,16,80.0,5.0,35.2%
13,2014,Cleveland Browns (CLE),31,21,8,11,3,1,0,16,128.0,8.0,35.2%
20,2013,Cleveland Browns (CLE),40,14,7,7,4,0,1,16,111.0,6.9,35.2%
17,2012,Cleveland Browns (CLE),38,17,12,16,2,0,1,16,117.0,7.3,35.2%
25,2011,Cleveland Browns (CLE),32,9,11,15,0,0,1,16,96.0,6.0,35.2%
17,2010,Cleveland Browns (CLE),29,19,9,8,3,0,0,16,121.0,7.6,35.2%
27,2009,Cleveland Browns (CLE),40,10,9,8,0,1,4,16,99.0,6.2,35.2%
17,2008,Cleveland Browns (CLE),17,23,8,9,2,0,1,16,142.0,8.9,35.2%
28,2007,Cleveland Browns (CLE),28,17,10,9,1,1,3,16,161.0,10.1,35.2%
25,2006,Cleveland Browns (CLE),28,18,9,8,2,0,1,16,112.0,7.0,35.2%
27,2005,Cleveland Browns (CLE),23,15,8,11,0,0,2,16,106.0,6.6,35.2%
24,2004,Cleveland Browns (CLE),32,15,13,9,1,0,1,16,107.0,6.7,35.2%
20,2003,Cleveland Browns (CLE),35,15,7,14,1,0,1,16,120.0,7.5,35.2%
24,2002,Cleveland Browns (CLE),28,17,12,16,0,0,3,16,105.0,6.6,35.2%
