Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
1,2021,Dallas Cowboys (DAL),41,26,8,13,6,0,3,17,185.0,10.9,73.5%
21,2020,Dallas Cowboys (DAL),31,10,12,13,2,0,1,16,78.0,4.9,73.5%
20,2019,Dallas Cowboys (DAL),39,7,10,13,1,0,0,16,99.0,6.2,73.5%
22,2018,Dallas Cowboys (DAL),39,9,11,14,1,0,0,16,98.0,6.1,73.5%
18,2017,Dallas Cowboys (DAL),38,10,10,13,1,0,1,16,106.0,6.6,73.5%
21,2016,Dallas Cowboys (DAL),36,9,11,17,0,0,0,16,91.0,5.7,73.5%
28,2015,Dallas Cowboys (DAL),31,8,3,5,1,1,1,16,80.0,5.0,73.5%
16,2014,Dallas Cowboys (DAL),28,18,13,15,3,0,0,16,119.0,7.4,73.5%
16,2013,Dallas Cowboys (DAL),34,15,13,13,5,0,1,16,116.0,7.3,73.5%
26,2012,Dallas Cowboys (DAL),34,7,9,13,3,0,1,16,85.0,5.3,73.5%
18,2011,Dallas Cowboys (DAL),42,15,9,12,1,0,0,16,113.0,7.1,73.5%
16,2010,Dallas Cowboys (DAL),35,20,10,12,4,0,3,16,121.0,7.6,73.5%
13,2009,Dallas Cowboys (DAL),42,11,10,17,1,0,2,16,133.0,8.3,73.5%
13,2008,Dallas Cowboys (DAL),59,8,14,15,1,1,1,16,159.0,9.9,73.5%
7,2007,Dallas Cowboys (DAL),46,19,10,15,3,0,0,16,219.0,13.7,73.5%
13,2006,Dallas Cowboys (DAL),34,18,13,16,4,0,1,16,132.0,8.3,73.5%
15,2005,Dallas Cowboys (DAL),37,15,11,15,2,0,0,16,129.0,8.1,73.5%
30,2004,Dallas Cowboys (DAL),33,13,9,11,0,1,0,16,84.0,5.3,73.5%
8,2003,Dallas Cowboys (DAL),32,13,12,17,2,2,1,16,149.0,9.3,73.5%
16,2002,Dallas Cowboys (DAL),24,19,10,14,3,0,2,16,122.0,7.6,73.5%
