Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
13,2021,Denver Broncos (DEN),36,13,6,6,1,0,0,17,119.0,7.0,51.3%
22,2020,Denver Broncos (DEN),42,10,6,11,0,0,1,16,77.0,4.8,51.3%
19,2019,Denver Broncos (DEN),40,10,6,8,1,0,0,16,101.0,6.3,51.3%
5,2018,Denver Broncos (DEN),44,17,10,13,2,0,0,16,126.0,7.9,51.3%
19,2017,Denver Broncos (DEN),33,10,7,8,4,0,0,16,106.0,6.6,51.3%
1,2016,Denver Broncos (DEN),42,14,13,15,4,0,0,16,152.0,9.5,51.3%
2,2015,Denver Broncos (DEN),52,14,13,19,5,1,1,16,168.0,10.5,51.3%
17,2014,Denver Broncos (DEN),41,18,7,15,3,1,0,16,119.0,7.4,51.3%
17,2013,Denver Broncos (DEN),41,17,9,14,2,0,3,16,115.0,7.2,51.3%
3,2012,Denver Broncos (DEN),52,16,8,18,6,2,2,16,171.0,10.7,51.3%
21,2011,Denver Broncos (DEN),41,9,9,10,3,0,2,16,105.0,6.6,51.3%
32,2010,Denver Broncos (DEN),23,10,8,12,1,0,1,16,48.0,3.0,51.3%
8,2009,Denver Broncos (DEN),39,17,13,18,2,0,2,16,142.0,8.9,51.3%
29,2008,Denver Broncos (DEN),26,6,7,8,2,0,0,16,103.0,6.4,51.3%
20,2007,Denver Broncos (DEN),33,14,15,18,2,1,1,16,179.0,11.2,51.3%
10,2006,Denver Broncos (DEN),35,17,13,17,2,0,0,16,138.0,8.6,51.3%
5,2005,Denver Broncos (DEN),28,20,16,18,3,1,0,16,157.0,9.8,51.3%
22,2004,Denver Broncos (DEN),38,12,8,15,2,0,0,16,115.0,7.2,51.3%
22,2003,Denver Broncos (DEN),36,9,11,16,1,1,2,16,112.0,7.0,51.3%
18,2002,Denver Broncos (DEN),40,9,13,10,3,1,0,16,120.0,7.5,51.3%
