Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
24,2021,Houston Texans (HOU),32,17,8,15,1,1,1,17,87.0,5.1,0.8%
30,2020,Houston Texans (HOU),34,3,6,9,1,0,0,16,45.0,2.8,0.8%
23,2019,Houston Texans (HOU),31,12,10,14,2,0,0,16,94.0,5.9,0.8%
3,2018,Houston Texans (HOU),43,15,14,19,4,0,0,16,147.0,9.2,0.8%
28,2017,Houston Texans (HOU),32,11,5,12,4,1,0,16,82.0,5.1,0.8%
23,2016,Houston Texans (HOU),31,11,6,6,1,1,1,16,89.0,5.6,0.8%
5,2015,Houston Texans (HOU),45,14,11,10,3,0,0,16,150.0,9.4,0.8%
1,2014,Houston Texans (HOU),38,20,14,16,5,1,1,16,171.0,10.7,0.8%
32,2013,Houston Texans (HOU),32,7,4,8,1,1,1,16,64.0,4.0,0.8%
8,2012,Houston Texans (HOU),44,15,14,16,3,1,1,16,152.0,9.5,0.8%
10,2011,Houston Texans (HOU),44,17,10,10,1,0,1,16,135.0,8.4,0.8%
30,2010,Houston Texans (HOU),30,13,5,8,0,0,0,16,70.0,4.4,0.8%
18,2009,Houston Texans (HOU),30,14,13,12,2,2,1,16,120.0,7.5,0.8%
28,2008,Houston Texans (HOU),25,12,10,14,1,0,2,16,114.0,7.1,0.8%
22,2007,Houston Texans (HOU),31,11,14,14,3,0,4,16,174.0,10.9,0.8%
29,2006,Houston Texans (HOU),28,11,11,13,3,0,0,16,102.0,6.4,0.8%
32,2005,Houston Texans (HOU),37,7,9,17,0,0,2,16,66.0,4.1,0.8%
15,2004,Houston Texans (HOU),24,22,8,11,5,0,0,16,137.0,8.6,0.8%
29,2003,Houston Texans (HOU),19,14,8,9,1,0,0,16,82.0,5.1,0.8%
17,2002,Houston Texans (HOU),35,10,11,9,3,3,1,16,121.0,7.6,0.8%
