Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
8,2021,Kansas City Chiefs (KC),31,15,14,18,4,0,0,17,131.0,7.7,22.9%
12,2020,Kansas City Chiefs (KC),32,16,6,11,2,1,2,16,108.0,6.8,22.9%
5,2019,Kansas City Chiefs (KC),45,16,7,12,3,0,1,16,148.0,9.3,22.9%
7,2018,Kansas City Chiefs (KC),52,15,12,21,4,0,1,16,125.0,7.8,22.9%
12,2017,Kansas City Chiefs (KC),31,16,10,11,3,0,1,16,118.0,7.4,22.9%
2,2016,Kansas City Chiefs (KC),28,18,15,13,5,1,3,16,148.0,9.3,22.9%
1,2015,Kansas City Chiefs (KC),47,22,7,13,6,1,0,16,176.0,11.0,22.9%
24,2014,Kansas City Chiefs (KC),46,6,7,10,1,0,2,16,103.0,6.4,22.9%
3,2013,Kansas City Chiefs (KC),47,21,15,12,7,0,4,16,180.0,11.3,22.9%
31,2012,Kansas City Chiefs (KC),27,7,6,11,1,1,0,16,55.0,3.4,22.9%
17,2011,Kansas City Chiefs (KC),29,20,6,12,2,0,0,16,113.0,7.1,22.9%
15,2010,Kansas City Chiefs (KC),39,14,9,15,3,0,1,16,123.0,7.7,22.9%
24,2009,Kansas City Chiefs (KC),22,15,13,11,3,1,1,16,104.0,6.5,22.9%
26,2008,Kansas City Chiefs (KC),10,13,16,19,3,0,0,16,116.0,7.3,22.9%
21,2007,Kansas City Chiefs (KC),37,14,8,14,1,1,0,16,178.0,11.1,22.9%
17,2006,Kansas City Chiefs (KC),32,15,15,19,0,0,1,16,128.0,8.0,22.9%
18,2005,Kansas City Chiefs (KC),29,16,15,19,2,0,1,16,121.0,7.6,22.9%
29,2004,Kansas City Chiefs (KC),41,13,7,14,2,0,2,16,86.0,5.4,22.9%
10,2003,Kansas City Chiefs (KC),36,25,12,11,3,0,4,16,148.0,9.3,22.9%
26,2002,Kansas City Chiefs (KC),34,18,13,12,1,0,3,16,103.0,6.4,22.9%
