Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
27,2021,Los Angeles Chargers (LAC),35,11,10,18,1,0,1,17,78.0,4.6,55.2%
23,2020,Los Angeles Chargers (LAC),27,12,7,5,2,1,0,16,76.0,4.8,55.2%
27,2019,Los Angeles Chargers (LAC),30,11,3,5,0,0,1,16,81.0,5.1,55.2%
16,2018,Los Angeles Chargers (LAC),38,13,7,5,2,0,1,16,109.0,6.8,55.2%
5,2017,Los Angeles Chargers (LAC),43,18,9,13,3,0,1,16,151.0,9.4,55.2%
11,2016,Los Angeles Chargers (LAC),35,18,10,12,5,1,0,16,119.0,7.4,55.2%
27,2015,Los Angeles Chargers (LAC),32,11,9,9,1,0,0,16,83.0,5.2,55.2%
25,2014,Los Angeles Chargers (LAC),26,7,11,15,3,1,0,16,98.0,6.1,55.2%
28,2013,Los Angeles Chargers (LAC),35,11,6,9,1,0,0,16,91.0,5.7,55.2%
7,2012,Los Angeles Chargers (LAC),38,14,14,16,7,1,2,16,153.0,9.6,55.2%
28,2011,Los Angeles Chargers (LAC),32,17,4,7,2,0,1,16,93.0,5.8,55.2%
9,2010,Los Angeles Chargers (LAC),47,16,6,10,3,1,0,16,132.0,8.3,55.2%
16,2009,Los Angeles Chargers (LAC),35,14,10,15,3,1,1,16,126.0,7.9,55.2%
31,2008,Los Angeles Chargers (LAC),28,15,9,11,3,1,1,16,87.0,5.4,55.2%
31,2007,Los Angeles Chargers (LAC),42,30,18,16,5,0,2,16,103.0,6.4,55.2%
4,2006,Los Angeles Chargers (LAC),61,16,12,17,3,0,0,16,158.0,9.9,55.2%
21,2005,Los Angeles Chargers (LAC),46,10,10,13,2,0,0,16,113.0,7.1,55.2%
18,2004,Los Angeles Chargers (LAC),29,23,10,12,1,1,1,16,124.0,7.8,55.2%
31,2003,Los Angeles Chargers (LAC),30,13,7,14,1,0,0,16,66.0,4.1,55.2%
12,2002,Los Angeles Chargers (LAC),39,17,10,13,4,1,0,16,133.0,8.3,55.2%
