Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
5,2021,New Orleans Saints (NO),46,18,7,12,2,0,0,17,145.0,8.5,95.3%
7,2020,New Orleans Saints (NO),45,18,8,6,1,1,0,16,126.0,7.9,95.3%
8,2019,New Orleans Saints (NO),51,13,10,10,3,1,1,16,143.0,8.9,95.3%
14,2018,New Orleans Saints (NO),49,12,12,19,1,0,0,16,110.0,6.9,95.3%
7,2017,New Orleans Saints (NO),42,20,5,15,3,0,2,16,143.0,8.9,95.3%
30,2016,New Orleans Saints (NO),30,9,12,11,0,1,0,16,58.0,3.6,95.3%
31,2015,New Orleans Saints (NO),31,9,13,15,1,0,2,16,73.0,4.6,95.3%
30,2014,New Orleans Saints (NO),34,12,5,10,0,2,0,16,69.0,4.3,95.3%
22,2013,New Orleans Saints (NO),49,12,7,10,0,0,0,16,109.0,6.8,95.3%
20,2012,New Orleans Saints (NO),30,15,11,10,4,0,1,16,113.0,7.1,95.3%
24,2011,New Orleans Saints (NO),33,9,7,14,3,0,1,16,98.0,6.1,95.3%
10,2010,New Orleans Saints (NO),33,9,16,22,2,1,0,16,130.0,8.1,95.3%
2,2009,New Orleans Saints (NO),35,26,13,12,8,0,1,16,174.0,10.9,95.3%
27,2008,New Orleans Saints (NO),28,15,7,8,0,1,3,16,116.0,7.3,95.3%
16,2007,New Orleans Saints (NO),32,13,10,16,5,1,0,16,193.0,12.1,95.3%
27,2006,New Orleans Saints (NO),38,11,8,12,0,0,1,16,103.0,6.4,95.3%
31,2005,New Orleans Saints (NO),25,10,9,9,0,0,0,16,70.0,4.4,95.3%
19,2004,New Orleans Saints (NO),37,13,20,23,1,1,2,16,120.0,7.5,95.3%
15,2003,New Orleans Saints (NO),32,14,13,13,2,1,1,16,128.0,8.0,95.3%
10,2002,New Orleans Saints (NO),39,20,18,20,3,0,3,16,141.0,8.8,95.3%
