Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
31,2021,New York Jets (NYJ),33,7,7,12,1,0,1,17,58.0,3.4,1.6%
25,2020,New York Jets (NYJ),31,10,9,17,1,1,0,16,67.0,4.2,1.6%
12,2019,New York Jets (NYJ),35,12,9,8,5,2,1,16,133.0,8.3,1.6%
24,2018,New York Jets (NYJ),39,13,7,12,3,0,2,16,94.0,5.9,1.6%
31,2017,New York Jets (NYJ),28,11,9,8,0,0,0,16,71.0,4.4,1.6%
31,2016,New York Jets (NYJ),27,8,4,12,0,0,0,16,56.0,3.5,1.6%
15,2015,New York Jets (NYJ),39,18,12,13,0,0,0,16,116.0,7.3,1.6%
29,2014,New York Jets (NYJ),45,6,7,7,0,1,0,16,77.0,4.8,1.6%
27,2013,New York Jets (NYJ),41,13,2,9,1,1,0,16,97.0,6.1,1.6%
22,2012,New York Jets (NYJ),30,11,12,13,3,1,2,16,110.0,6.9,1.6%
7,2011,New York Jets (NYJ),35,19,12,15,2,3,2,16,144.0,9.0,1.6%
5,2010,New York Jets (NYJ),40,12,18,17,3,2,2,16,145.0,9.1,1.6%
4,2009,New York Jets (NYJ),32,17,14,11,2,0,2,16,170.0,10.6,1.6%
5,2008,New York Jets (NYJ),41,14,16,26,5,0,1,16,193.0,12.1,1.6%
30,2007,New York Jets (NYJ),29,15,6,9,1,0,3,16,145.0,9.1,1.6%
21,2006,New York Jets (NYJ),35,16,9,13,1,0,2,16,119.0,7.4,1.6%
19,2005,New York Jets (NYJ),30,21,7,15,3,0,1,16,119.0,7.4,1.6%
11,2004,New York Jets (NYJ),37,19,14,15,3,0,1,16,148.0,9.3,1.6%
25,2003,New York Jets (NYJ),35,11,9,11,0,1,1,16,100.0,6.3,1.6%
28,2002,New York Jets (NYJ),30,15,8,8,0,0,4,16,97.0,6.1,1.6%
