Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
17,2021,Pittsburgh Steelers (PIT),55,13,9,16,0,0,1,17,111.0,6.5,45.2%
2,2020,Pittsburgh Steelers (PIT),56,18,9,12,3,1,0,17,148.0,8.7,45.2%
2,2019,Pittsburgh Steelers (PIT),54,20,18,19,3,0,1,16,181.0,11.3,45.2%
12,2018,Pittsburgh Steelers (PIT),52,8,7,11,3,2,0,16,113.0,7.1,45.2%
9,2017,Pittsburgh Steelers (PIT),56,16,6,11,0,1,1,16,131.0,8.2,45.2%
14,2016,Pittsburgh Steelers (PIT),38,13,10,14,1,1,0,16,106.0,6.6,45.2%
7,2015,Pittsburgh Steelers (PIT),48,17,13,14,2,0,1,16,141.0,8.8,45.2%
18,2014,Pittsburgh Steelers (PIT),33,11,10,11,5,1,1,16,113.0,7.1,45.2%
21,2013,Pittsburgh Steelers (PIT),34,10,10,14,3,1,1,16,110.0,6.9,45.2%
21,2012,Pittsburgh Steelers (PIT),37,10,10,15,1,0,0,16,111.0,6.9,45.2%
14,2011,Pittsburgh Steelers (PIT),35,11,4,6,1,2,1,16,122.0,7.6,45.2%
1,2010,Pittsburgh Steelers (PIT),48,21,14,20,3,0,1,16,181.0,11.3,45.2%
15,2009,Pittsburgh Steelers (PIT),47,12,10,14,3,0,0,16,129.0,8.1,45.2%
1,2008,Pittsburgh Steelers (PIT),51,20,9,12,3,1,0,16,212.0,13.3,45.2%
10,2007,Pittsburgh Steelers (PIT),36,11,14,21,2,0,1,16,208.0,13.0,45.2%
12,2006,Pittsburgh Steelers (PIT),39,20,9,13,2,0,1,16,135.0,8.4,45.2%
6,2005,Pittsburgh Steelers (PIT),47,15,15,18,1,1,2,16,153.0,9.6,45.2%
4,2004,Pittsburgh Steelers (PIT),41,19,13,16,5,1,0,16,176.0,11.0,45.2%
19,2003,Pittsburgh Steelers (PIT),35,14,11,11,2,0,2,16,121.0,7.6,45.2%
6,2002,Pittsburgh Steelers (PIT),50,19,17,11,1,0,1,16,150.0,9.4,45.2%
