Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
14,2021,San Francisco 49ers (SF),48,9,11,21,2,0,0,17,118.0,6.9,96.0%
20,2020,San Francisco 49ers (SF),30,12,8,11,1,0,0,16,90.0,5.6,96.0%
3,2019,San Francisco 49ers (SF),48,12,15,21,5,0,0,16,163.0,10.2,96.0%
31,2018,San Francisco 49ers (SF),37,2,5,9,1,1,1,16,52.0,3.3,96.0%
29,2017,San Francisco 49ers (SF),30,10,10,13,1,0,0,16,79.0,4.9,96.0%
29,2016,San Francisco 49ers (SF),33,10,10,12,0,1,0,16,63.0,3.9,96.0%
32,2015,San Francisco 49ers (SF),28,9,3,5,1,0,0,16,65.0,4.1,96.0%
12,2014,San Francisco 49ers (SF),36,23,6,10,3,0,0,16,129.0,8.1,96.0%
6,2013,San Francisco 49ers (SF),38,18,11,11,5,1,0,16,163.0,10.2,96.0%
6,2012,San Francisco 49ers (SF),38,14,11,12,3,1,0,16,153.0,9.6,96.0%
1,2011,San Francisco 49ers (SF),42,23,15,18,1,1,2,16,171.0,10.7,96.0%
18,2010,San Francisco 49ers (SF),36,15,7,12,3,0,1,16,120.0,7.5,96.0%
1,2009,San Francisco 49ers (SF),44,18,15,21,3,0,1,16,179.0,11.2,96.0%
22,2008,San Francisco 49ers (SF),30,12,6,9,1,0,3,16,129.0,8.1,96.0%
27,2007,San Francisco 49ers (SF),31,12,9,11,1,1,0,16,162.0,10.1,96.0%
26,2006,San Francisco 49ers (SF),34,14,13,15,2,1,0,16,107.0,6.7,96.0%
28,2005,San Francisco 49ers (SF),28,16,10,8,4,0,1,16,105.0,6.6,96.0%
31,2004,San Francisco 49ers (SF),29,9,12,15,2,1,1,16,73.0,4.6,96.0%
12,2003,San Francisco 49ers (SF),42,23,13,10,1,1,1,16,132.0,8.3,96.0%
25,2002,San Francisco 49ers (SF),32,19,8,14,1,0,1,16,104.0,6.5,96.0%
