Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
22,2021,Washington Commanders (WAS),38,11,7,9,2,0,1,17,92.0,5.4,40.8%
6,2020,Washington Commanders (WAS),47,16,7,13,3,1,0,16,127.0,7.9,40.8%
24,2019,Washington Commanders (WAS),46,13,9,15,0,0,1,16,94.0,5.9,40.8%
10,2018,Washington Commanders (WAS),46,15,11,18,1,0,0,16,120.0,7.5,40.8%
17,2017,Washington Commanders (WAS),42,16,7,12,2,0,0,16,109.0,6.8,40.8%
24,2016,Washington Commanders (WAS),38,13,7,15,0,0,1,16,86.0,5.4,40.8%
16,2015,Washington Commanders (WAS),38,11,15,21,2,1,2,16,115.0,7.2,40.8%
31,2014,Washington Commanders (WAS),36,7,12,14,0,0,0,16,68.0,4.3,40.8%
24,2013,Washington Commanders (WAS),36,16,9,12,5,0,0,16,103.0,6.4,40.8%
15,2012,Washington Commanders (WAS),32,21,9,12,4,0,0,16,120.0,7.5,40.8%
23,2011,Washington Commanders (WAS),41,13,8,17,1,0,0,16,99.0,6.2,40.8%
23,2010,Washington Commanders (WAS),29,14,13,15,2,0,1,16,109.0,6.8,40.8%
28,2009,Washington Commanders (WAS),40,11,6,14,0,0,0,16,92.0,5.8,40.8%
25,2008,Washington Commanders (WAS),24,13,5,9,0,0,1,16,121.0,7.6,40.8%
15,2007,Washington Commanders (WAS),33,14,10,17,2,2,0,16,196.0,12.3,40.8%
32,2006,Washington Commanders (WAS),19,6,6,8,0,1,2,16,52.0,3.3,40.8%
17,2005,Washington Commanders (WAS),35,16,12,17,2,0,2,16,126.0,7.9,40.8%
13,2004,Washington Commanders (WAS),40,18,8,12,1,0,1,16,142.0,8.9,40.8%
26,2003,Washington Commanders (WAS),27,17,13,15,0,1,1,16,97.0,6.1,40.8%
19,2002,Washington Commanders (WAS),40,14,12,17,2,1,1,16,119.0,7.4,40.8%
