Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
19,2021,Graham Gano (NYG),29,33,87.9,55,0,5,12,5,7,17,17,17,123.0,7.2,22.7%
14,2020,Graham Gano (NYG),31,32,96.9,55,0,4,13,9,5,21,23,16,133.0,8.3,22.7%
47,2019,Graham Gano (NYG),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,22.7%
30,2018,Graham Gano (NYG),14,16,87.5,63,0,3,4,4,3,30,33,12,82.0,6.8,22.7%
15,2017,Graham Gano (NYG),29,30,96.7,48,0,8,11,10,0,34,37,16,131.0,8.2,22.7%
8,2016,Graham Gano (NYG),30,38,78.9,54,0,4,9,14,3,31,34,16,141.0,8.8,22.7%
2,2015,Graham Gano (NYG),30,36,83.3,52,1,10,4,13,2,56,58,16,163.0,10.2,22.7%
14,2014,Graham Gano (NYG),29,35,82.9,53,0,7,12,9,1,34,34,16,132.0,8.3,22.7%
15,2013,Graham Gano (NYG),24,27,88.9,55,0,9,4,5,6,42,42,16,131.0,8.2,22.7%
31,2012,Graham Gano (NYG),9,11,81.8,51,0,3,3,2,1,20,21,6,51.0,8.5,22.7%
11,2011,Graham Gano (NYG),31,41,75.6,59,0,14,5,8,4,25,25,16,134.0,8.4,22.7%
11,2010,Graham Gano (NYG),24,35,68.6,49,1,7,4,7,1,28,28,16,97.0,6.1,22.7%
39,2009,Graham Gano (NYG),4,4,100.0,46,0,0,0,0,0,6,6,4,6.0,1.5,22.7%
