Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
37,2015,Josh Scobee (FA),6,10,60.0,45,0,2,1,3,0,6,7,4,27.0,6.8,0.0%
28,2014,Josh Scobee (FA),20,26,76.9,53,0,3,7,7,3,23,23,16,96.0,6.0,0.0%
31,2013,Josh Scobee (FA),23,25,92.0,55,0,3,12,4,4,22,22,16,103.0,6.4,0.0%
25,2012,Josh Scobee (FA),25,28,89.3,50,1,4,8,11,1,18,18,16,106.0,6.6,0.0%
20,2011,Josh Scobee (FA),23,25,92.0,55,1,5,5,7,5,24,24,16,110.0,6.9,0.0%
17,2010,Josh Scobee (FA),22,28,78.6,59,1,3,2,4,2,41,41,16,85.0,5.3,0.0%
21,2009,Josh Scobee (FA),18,28,64.3,52,0,0,0,0,0,30,30,16,30.0,1.9,0.0%
20,2008,Josh Scobee (FA),19,25,76.0,53,0,0,0,0,0,26,26,16,26.0,1.6,0.0%
33,2007,Josh Scobee (FA),12,13,92.3,48,0,0,0,0,0,1,1,8,1.0,0.1,0.0%
6,2006,Josh Scobee (FA),26,32,81.3,48,0,0,0,0,0,41,41,16,41.0,2.6,0.0%
11,2005,Josh Scobee (FA),23,30,76.7,53,0,0,0,0,0,38,39,16,38.0,2.4,0.0%
29,2004,Josh Scobee (FA),24,31,77.4,53,0,0,0,0,0,21,21,16,21.0,1.3,0.0%
