Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
7,2021,Matt Prater (ARI),30,37,81.1,62,0,11,9,3,7,47,49,17,154.0,9.1,75.8%
22,2020,Matt Prater (ARI),21,28,75.0,59,0,4,7,4,6,38,41,16,117.0,7.3,75.8%
7,2019,Matt Prater (ARI),26,31,83.9,56,0,11,2,6,7,35,36,16,133.0,8.3,75.8%
11,2018,Matt Prater (ARI),28,32,87.5,54,0,8,12,5,3,30,30,16,129.3,8.1,75.8%
10,2017,Matt Prater (ARI),30,35,85.7,58,2,4,10,7,7,40,41,16,151.0,9.4,75.8%
6,2016,Matt Prater (ARI),31,36,86.1,58,0,10,4,10,7,31,33,16,148.0,9.3,75.8%
19,2015,Matt Prater (ARI),22,24,91.7,59,0,3,8,6,5,36,38,16,118.0,7.4,75.8%
29,2014,Matt Prater (ARI),21,26,80.8,52,0,8,4,6,3,21,21,11,96.0,8.7,75.8%
2,2013,Matt Prater (ARI),25,26,96.2,64,2,4,5,8,6,75,75,16,170.0,10.6,75.8%
8,2012,Matt Prater (ARI),26,32,81.3,53,1,7,10,5,3,55,55,16,144.0,9.0,75.8%
25,2011,Matt Prater (ARI),19,25,76.0,59,0,5,8,3,3,30,30,16,96.0,6.0,75.8%
21,2010,Matt Prater (ARI),16,18,88.9,59,0,1,5,4,2,28,29,12,72.0,6.0,75.8%
19,2009,Matt Prater (ARI),30,35,85.7,51,0,0,0,0,0,32,32,16,32.0,2.0,75.8%
22,2008,Matt Prater (ARI),25,34,73.5,56,0,0,0,0,0,25,26,16,25.0,1.6,75.8%
34,2007,Matt Prater (ARI),1,4,25.0,45,0,0,0,0,0,1,1,4,1.0,0.3,75.8%
