Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
34,2015,Shayne Graham (FA),11,13,84.6,54,0,2,4,2,3,8,8,5,49.0,9.8,0.0%
24,2014,Shayne Graham (FA),19,22,86.4,50,0,6,9,3,1,46,46,16,108.0,6.8,0.0%
34,2013,Shayne Graham (FA),2,2,100.0,40,0,1,0,1,0,7,7,2,14.0,7.0,0.0%
5,2012,Shayne Graham (FA),31,38,81.6,51,1,9,10,7,4,45,45,16,153.0,9.6,0.0%
33,2011,Shayne Graham (FA),6,7,85.7,48,0,4,0,2,0,8,8,3,28.0,9.3,0.0%
20,2010,Shayne Graham (FA),12,12,100.0,41,0,5,5,1,0,39,41,9,73.0,8.1,0.0%
24,2009,Shayne Graham (FA),23,28,82.1,53,0,0,0,0,0,28,28,16,28.0,1.8,0.0%
32,2008,Shayne Graham (FA),21,24,87.5,45,0,0,0,0,0,11,11,14,11.0,0.8,0.0%
8,2007,Shayne Graham (FA),31,34,91.2,48,0,0,0,0,0,20,20,16,20.0,1.3,0.0%
8,2006,Shayne Graham (FA),25,30,83.3,51,0,0,0,0,0,40,41,16,40.0,2.5,0.0%
4,2005,Shayne Graham (FA),28,32,87.5,49,0,0,0,0,0,47,47,16,47.0,2.9,0.0%
10,2004,Shayne Graham (FA),27,31,87.1,53,0,0,0,0,0,41,41,16,41.0,2.6,0.0%
9,2003,Shayne Graham (FA),22,25,88.0,48,0,0,0,0,0,40,40,16,40.0,2.5,0.0%
29,2002,Shayne Graham (FA),13,18,72.2,50,0,0,0,0,0,21,21,11,21.0,1.9,0.0%
