Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
44,2020,Stephen Hauschka (FA),0,2,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%
23,2019,Stephen Hauschka (FA),22,28,78.6,51,0,5,7,8,1,30,32,16,103.0,6.4,0.0%
22,2018,Stephen Hauschka (FA),22,28,78.6,54,0,3,8,7,4,25,26,16,106.0,6.6,0.0%
13,2017,Stephen Hauschka (FA),29,33,87.9,56,0,6,9,7,7,29,29,16,137.0,8.6,0.0%
14,2016,Stephen Hauschka (FA),33,37,89.2,53,0,11,13,8,1,29,35,16,138.0,8.6,0.0%
8,2015,Stephen Hauschka (FA),29,31,93.5,54,0,9,7,7,6,40,42,16,146.0,9.1,0.0%
7,2014,Stephen Hauschka (FA),31,37,83.8,58,0,10,10,9,2,41,41,16,147.0,9.2,0.0%
5,2013,Stephen Hauschka (FA),33,35,94.3,53,0,10,9,11,3,44,44,16,160.0,10.0,0.0%
16,2012,Stephen Hauschka (FA),24,27,88.9,52,1,7,10,5,1,46,46,16,125.0,7.8,0.0%
16,2011,Stephen Hauschka (FA),25,30,83.3,52,2,5,10,7,1,34,34,16,118.0,7.4,0.0%
32,2010,Stephen Hauschka (FA),6,7,85.7,46,0,1,2,2,0,10,10,4,27.0,6.8,0.0%
25,2009,Stephen Hauschka (FA),9,13,69.2,44,0,0,0,0,0,27,27,9,27.0,3.0,0.0%
42,2008,Stephen Hauschka (FA),1,2,50.0,54,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
