Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
452,2021,Aaron Brewer (ARI),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
200,2020,Aaron Brewer (ARI),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
388,2019,Aaron Brewer (ARI),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
341,2018,Aaron Brewer (ARI),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
356,2017,Aaron Brewer (ARI),0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
337,2016,Aaron Brewer (ARI),0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
325,2015,Aaron Brewer (ARI),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
330,2014,Aaron Brewer (ARI),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
322,2013,Aaron Brewer (ARI),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
321,2012,Aaron Brewer (ARI),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
