Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
138,2017,Ahmad Brooks (FA),13,6,1.5,2,0,0,0,0,12,43.3,3.6,0.0%
57,2016,Ahmad Brooks (FA),41,12,6,4,0,1,0,0,16,129.8,8.1,0.0%
85,2015,Ahmad Brooks (FA),28,14,6.5,1,0,0,1,0,14,99.4,7.1,0.0%
90,2014,Ahmad Brooks (FA),25,5,6,3,0,1,1,0,13,92.9,7.1,0.0%
43,2013,Ahmad Brooks (FA),52,8,8.5,7,1,1,0,0,16,167.7,10.5,0.0%
57,2012,Ahmad Brooks (FA),36,12,6.5,6,1,2,0,1,16,147.4,9.2,0.0%
61,2011,Ahmad Brooks (FA),35,15,7,3,0,1,0,0,16,130.4,8.2,0.0%
103,2010,Ahmad Brooks (FA),24,2,5,2,1,0,0,0,15,85.6,5.7,0.0%
112,2009,Ahmad Brooks (FA),15,1,6,2,0,5,0,0,14,82.8,5.9,0.0%
149,2007,Ahmad Brooks (FA),5,1,1,0,0,1,0,0,2,16.3,8.2,0.0%
143,2006,Ahmad Brooks (FA),20,9,1,2,0,0,0,0,10,43.8,4.4,0.0%
