Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
171,2011,Ben Leber (FA),11,3,0,0,0,0,1,0,5,22.8,4.6,0.0%
99,2010,Ben Leber (FA),34,11,0,4,1,2,1,0,16,90.0,5.6,0.0%
97,2009,Ben Leber (FA),38,8,2.5,5,0,1,0,0,15,97.3,6.5,0.0%
66,2008,Ben Leber (FA),39,16,1.5,7,2,1,3,0,12,118.2,9.9,0.0%
79,2007,Ben Leber (FA),27,3,2,1,1,0,1,0,8,66.4,8.3,0.0%
79,2006,Ben Leber (FA),35,12,3,5,1,3,2,1,15,112.2,7.5,0.0%
144,2005,Ben Leber (FA),18,4,2,1,0,0,1,0,7,43.7,6.2,0.0%
92,2004,Ben Leber (FA),47,11,2,1,0,0,1,0,15,105.0,7.0,0.0%
68,2003,Ben Leber (FA),69,11,3,1,0,0,0,0,16,145.5,9.1,0.0%
82,2002,Ben Leber (FA),40,9,5,1,0,3,0,0,16,118.1,7.4,0.0%
