Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
10,2021,Bobby Wagner (LAR),93,77,1,5,1,1,0,0,17,225.7,13.3,82.3%
9,2020,Bobby Wagner (LAR),81,57,3,8,0,0,1,0,16,210.2,13.1,82.3%
3,2019,Bobby Wagner (LAR),86,73,3,6,1,1,1,0,16,235.8,14.7,82.3%
5,2018,Bobby Wagner (LAR),84,54,1,11,1,2,1,1,15,225.4,15.0,82.3%
2,2017,Bobby Wagner (LAR),97,36,1.5,6,2,0,1,1,16,240.4,15.0,82.3%
3,2016,Bobby Wagner (LAR),85,82,4.5,3,1,0,1,0,16,238.4,14.9,82.3%
18,2015,Bobby Wagner (LAR),67,47,0.5,7,0,2,3,2,15,185.5,12.4,82.3%
31,2014,Bobby Wagner (LAR),67,37,2,3,0,0,0,0,11,166.1,15.1,82.3%
27,2013,Bobby Wagner (LAR),71,48,5,7,2,0,1,0,14,197.4,14.1,82.3%
14,2012,Bobby Wagner (LAR),86,53,2,4,3,0,0,0,16,220.6,13.8,82.3%
