Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
300,2019,Brian Orakpo (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
110,2018,Brian Orakpo (FA),18,10,1.5,3,0,1,1,0,13,60.6,4.7,0.0%
70,2017,Brian Orakpo (FA),30,14,7,2,0,3,0,0,16,108.8,6.8,0.0%
47,2016,Brian Orakpo (FA),38,8,10.5,4,0,1,0,0,16,147.7,9.2,0.0%
48,2015,Brian Orakpo (FA),38,13,7,5,0,1,0,0,16,136.5,8.5,0.0%
149,2014,Brian Orakpo (FA),14,10,0.5,1,0,0,0,0,7,34.7,5.0,0.0%
34,2013,Brian Orakpo (FA),43,17,10,4,1,0,2,1,15,182.5,12.2,0.0%
174,2012,Brian Orakpo (FA),5,0,1,3,0,1,0,0,2,20.0,10.0,0.0%
50,2011,Brian Orakpo (FA),35,25,9,5,0,3,1,0,16,146.2,9.1,0.0%
59,2010,Brian Orakpo (FA),36,20,8.5,2,0,1,0,0,15,133.1,8.9,0.0%
55,2009,Brian Orakpo (FA),37,13,11,2,0,1,0,0,16,149.1,9.3,0.0%
