Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
55,2012,Brian Urlacher (FA),53,15,0,7,1,2,2,1,12,148.6,12.4,0.0%
20,2011,Brian Urlacher (FA),84,18,0,7,3,0,2,1,16,201.9,12.6,0.0%
2,2010,Brian Urlacher (FA),97,29,4,10,1,2,3,0,16,256.1,16.0,0.0%
212,2009,Brian Urlacher (FA),3,0,0,0,0,0,0,0,1,7.0,7.0,0.0%
45,2008,Brian Urlacher (FA),55,13,0,7,2,0,0,0,12,138.1,11.5,0.0%
47,2007,Brian Urlacher (FA),44,14,3,3,1,0,0,0,8,98.2,12.3,0.0%
10,2006,Brian Urlacher (FA),93,49,0,9,3,1,1,0,16,213.0,13.3,0.0%
11,2005,Brian Urlacher (FA),98,24,6,5,0,1,0,0,15,206.1,13.7,0.0%
38,2004,Brian Urlacher (FA),54,18,5.5,7,1,2,0,0,9,162.7,18.1,0.0%
36,2003,Brian Urlacher (FA),86,29,2.5,4,0,0,0,0,16,189.7,11.9,0.0%
1,2002,Brian Urlacher (FA),116,36,4.5,7,1,2,2,0,16,298.3,18.6,0.0%
