Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
419,2021,Bruce Irvin (FA),2,5,0,1,0,0,0,0,6,0.0,0.0,0.0%
303,2020,Bruce Irvin (FA),4,1,0,0,0,0,0,0,2,0.0,0.0,0.0%
273,2019,Bruce Irvin (FA),22,14,8.5,1,0,1,1,0,13,0.0,0.0,0.0%
249,2018,Bruce Irvin (FA),16,3,6.5,0,0,1,0,0,16,0.0,0.0,0.0%
250,2017,Bruce Irvin (FA),38,20,8,3,0,4,0,0,16,0.0,0.0,0.0%
163,2016,Bruce Irvin (FA),47,10,7,1,0,6,0,0,16,26.8,1.7,0.0%
272,2015,Bruce Irvin (FA),22,16,5.5,2,0,1,1,0,15,0.0,0.0,0.0%
300,2014,Bruce Irvin (FA),24,14,6.5,3,2,1,0,2,15,0.0,0.0,0.0%
279,2013,Bruce Irvin (FA),31,9,2,2,1,1,0,0,12,0.0,0.0,0.0%
310,2012,Bruce Irvin (FA),10,6,8,0,0,1,1,0,16,0.0,0.0,0.0%
