Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
69,2012,Bryan Scott (FA),45,19,0,8,4,2,2,1,16,136.1,8.5,0.0%
63,2011,Bryan Scott (FA),46,13,1,6,2,0,1,2,16,127.9,8.0,0.0%
107,2010,Bryan Scott (FA),22,9,3,5,0,0,2,0,15,82.4,5.5,0.0%
71,2009,Bryan Scott (FA),53,22,2,3,1,1,0,0,9,125.2,13.9,0.0%
65,2008,Bryan Scott (FA),51,13,1,3,0,0,1,0,16,118.9,7.4,0.0%
113,2007,Bryan Scott (FA),19,6,0,1,0,1,0,0,15,38.6,2.6,0.0%
184,2006,Bryan Scott (FA),7,1,0,0,0,0,0,0,9,11.3,1.3,0.0%
79,2005,Bryan Scott (FA),51,11,1,7,1,0,1,0,16,108.4,6.8,0.0%
44,2004,Bryan Scott (FA),76,11,2.5,5,1,1,1,0,16,157.9,9.9,0.0%
83,2003,Bryan Scott (FA),49,7,0,6,2,3,1,0,13,123.9,9.5,0.0%
