Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
199,2014,Chase Blackburn (FA),4,4,0,0,0,0,0,0,6,9.1,1.5,0.0%
156,2013,Chase Blackburn (FA),13,9,0,1,0,0,0,0,13,30.5,2.3,0.0%
39,2012,Chase Blackburn (FA),61,33,3,5,1,3,0,0,15,168.1,11.2,0.0%
154,2011,Chase Blackburn (FA),15,6,0,2,1,0,0,0,5,37.6,7.5,0.0%
233,2010,Chase Blackburn (FA),1,0,0,0,0,0,0,0,14,1.5,0.1,0.0%
119,2009,Chase Blackburn (FA),27,20,0.5,1,1,0,0,0,16,74.2,4.6,0.0%
109,2008,Chase Blackburn (FA),27,16,1,0,0,1,1,0,16,69.8,4.4,0.0%
165,2007,Chase Blackburn (FA),5,0,0,0,0,0,1,0,16,11.5,0.7,0.0%
220,2006,Chase Blackburn (FA),2,0,0,0,0,0,0,0,16,3.0,0.2,0.0%
156,2005,Chase Blackburn (FA),6,9,0,1,1,0,1,1,15,32.3,2.2,0.0%
