Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
301,2019,Chris Long (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
268,2018,Chris Long (FA),15,8,6.5,0,0,2,0,0,16,0.0,0.0,0.0%
273,2017,Chris Long (FA),20,8,5,0,0,4,0,0,16,0.0,0.0,0.0%
295,2016,Chris Long (FA),22,13,4,3,0,1,1,0,16,0.0,0.0,0.0%
308,2015,Chris Long (FA),9,10,3,0,0,1,0,0,12,0.0,0.0,0.0%
314,2014,Chris Long (FA),5,0,1,0,0,0,1,0,6,0.0,0.0,0.0%
270,2013,Chris Long (FA),33,7,8.5,2,0,1,2,1,16,0.0,0.0,0.0%
268,2012,Chris Long (FA),25,8,11.5,0,0,0,0,0,16,0.0,0.0,0.0%
251,2011,Chris Long (FA),31,6,13,2,0,1,0,0,16,0.0,0.0,0.0%
282,2010,Chris Long (FA),27,2,8.5,2,0,3,1,0,16,0.0,0.0,0.0%
277,2009,Chris Long (FA),33,10,5,1,0,1,0,0,16,0.0,0.0,0.0%
265,2008,Chris Long (FA),32,8,4,0,0,1,1,0,16,0.0,0.0,0.0%
