Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
224,2012,Clark Haggans (FA),2,0,0,0,0,0,0,0,2,3.0,1.5,0.0%
95,2011,Clark Haggans (FA),30,16,3,2,0,1,1,0,16,92.7,5.8,0.0%
87,2010,Clark Haggans (FA),38,9,5,2,0,1,0,0,12,106.0,8.8,0.0%
64,2009,Clark Haggans (FA),55,17,5,1,0,2,0,0,16,137.7,8.6,0.0%
163,2008,Clark Haggans (FA),5,0,1,1,0,0,1,0,4,19.5,4.9,0.0%
101,2007,Clark Haggans (FA),16,10,4,0,0,0,0,0,8,47.6,6.0,0.0%
61,2006,Clark Haggans (FA),52,25,6,4,1,2,1,0,15,144.0,9.6,0.0%
57,2005,Clark Haggans (FA),42,19,9,2,0,4,0,0,13,135.1,10.4,0.0%
94,2004,Clark Haggans (FA),29,8,6,1,0,2,1,0,11,104.8,9.5,0.0%
156,2003,Clark Haggans (FA),11,5,1,1,0,1,0,0,12,29.8,2.5,0.0%
113,2002,Clark Haggans (FA),17,9,6.5,8,0,1,0,0,14,84.5,6.0,0.0%
