Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
337,2014,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
216,2013,Cullen Loeffler (FA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
329,2012,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
296,2011,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
314,2010,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
302,2009,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
283,2008,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
280,2007,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
293,2006,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
287,2005,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
286,2004,Cullen Loeffler (FA),0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%
