Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
159,2021,Danny Trevathan (FA),8,11,0,0,0,0,0,0,5,22.8,4.6,0.1%
35,2020,Danny Trevathan (FA),67,46,1,5,0,1,0,0,16,158.5,9.9,0.1%
75,2019,Danny Trevathan (FA),50,20,1,1,0,1,0,0,9,104.8,11.6,0.1%
21,2018,Danny Trevathan (FA),76,26,2,6,2,1,1,0,16,188.8,11.8,0.1%
36,2017,Danny Trevathan (FA),60,29,2,5,1,1,1,0,12,150.6,12.6,0.1%
78,2016,Danny Trevathan (FA),49,17,1,4,0,0,0,0,9,98.9,11.0,0.1%
28,2015,Danny Trevathan (FA),73,36,0,6,2,0,0,1,15,169.3,11.3,0.1%
185,2014,Danny Trevathan (FA),9,2,0,0,0,0,0,0,3,15.1,5.0,0.1%
17,2013,Danny Trevathan (FA),85,40,2,10,3,2,1,0,16,225.3,14.1,0.1%
135,2012,Danny Trevathan (FA),21,9,1,2,0,0,0,0,16,47.9,3.0,0.1%
