Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
21,2021,Demario Davis (NO),70,35,3,7,0,0,0,0,16,186.6,11.7,23.5%
17,2020,Demario Davis (NO),73,46,4,5,0,0,0,0,16,193.0,12.1,23.5%
11,2019,Demario Davis (NO),87,24,4,12,1,0,0,0,16,215.3,13.5,23.5%
12,2018,Demario Davis (NO),74,36,5,4,0,2,1,0,16,203.9,12.7,23.5%
3,2017,Demario Davis (NO),97,38,5,3,0,0,1,0,16,235.5,14.7,23.5%
43,2016,Demario Davis (NO),59,40,2,2,0,1,0,0,16,151.3,9.5,23.5%
45,2015,Demario Davis (NO),57,32,2,2,0,0,1,0,16,142.3,8.9,23.5%
16,2014,Demario Davis (NO),78,37,3.5,5,0,0,2,0,16,187.2,11.7,23.5%
59,2013,Demario Davis (NO),60,41,1,1,1,0,0,0,16,144.2,9.0,23.5%
142,2012,Demario Davis (NO),23,4,0,0,0,0,1,0,16,44.1,2.8,23.5%
