Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
294,2019,Derrick Johnson (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
161,2018,Derrick Johnson (FA),14,3,0,0,0,0,0,0,6,23.3,3.9,0.0%
59,2017,Derrick Johnson (FA),48,23,0,7,0,1,1,0,15,120.5,8.0,0.0%
39,2016,Derrick Johnson (FA),70,20,1,3,1,0,0,1,13,159.8,12.3,0.0%
10,2015,Derrick Johnson (FA),95,21,4,8,2,2,0,0,16,224.6,14.0,0.0%
212,2014,Derrick Johnson (FA),4,0,0,0,0,0,0,0,1,6.0,6.0,0.0%
15,2013,Derrick Johnson (FA),95,12,4.5,6,2,0,2,0,15,226.9,15.1,0.0%
9,2012,Derrick Johnson (FA),109,15,2,4,0,3,0,0,16,230.9,14.4,0.0%
8,2011,Derrick Johnson (FA),104,27,2,9,2,1,1,0,16,241.2,15.1,0.0%
6,2010,Derrick Johnson (FA),96,26,1,16,1,4,1,1,16,242.9,15.2,0.0%
103,2009,Derrick Johnson (FA),26,6,1,5,3,1,0,2,15,91.1,6.1,0.0%
28,2008,Derrick Johnson (FA),68,17,1.5,6,1,4,0,0,14,166.0,11.9,0.0%
17,2007,Derrick Johnson (FA),82,11,4,6,2,3,0,0,16,181.1,11.3,0.0%
66,2006,Derrick Johnson (FA),58,18,4.5,2,0,2,2,0,13,137.8,10.6,0.0%
38,2005,Derrick Johnson (FA),79,16,2,5,0,2,1,0,16,158.4,9.9,0.0%
