Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
278,2019,Derrick Morgan (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
134,2018,Derrick Morgan (FA),19,6,0.5,3,0,0,1,0,13,43.6,3.4,0.0%
87,2017,Derrick Morgan (FA),16,16,7.5,2,0,0,2,0,14,92.4,6.6,0.0%
70,2016,Derrick Morgan (FA),24,9,9,1,0,0,0,0,15,107.8,7.2,0.0%
119,2015,Derrick Morgan (FA),17,7,4.5,2,0,1,0,0,10,68.5,6.9,0.0%
44,2014,Derrick Morgan (FA),43,20,6.5,7,0,2,0,0,16,149.4,9.3,0.0%
82,2013,Derrick Morgan (FA),29,6,6,2,0,1,1,0,15,105.6,7.0,0.0%
66,2012,Derrick Morgan (FA),35,24,6.5,5,0,1,1,0,16,137.4,8.6,0.0%
125,2011,Derrick Morgan (FA),22,8,2.5,2,0,0,0,0,15,59.8,4.0,0.0%
185,2010,Derrick Morgan (FA),3,2,1.5,1,0,0,0,0,4,13.5,3.4,0.0%
