Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
102,2017,Erik Walden (FA),25,11,4,0,0,0,1,0,16,78.6,4.9,0.0%
52,2016,Erik Walden (FA),31,11,11,0,0,3,0,0,16,136.2,8.5,0.0%
94,2015,Erik Walden (FA),28,14,3,0,0,1,0,0,15,91.3,6.1,0.0%
86,2014,Erik Walden (FA),25,12,6,0,0,1,0,0,15,97.4,6.5,0.0%
99,2013,Erik Walden (FA),26,19,3,3,0,1,1,0,15,90.5,6.0,0.0%
93,2012,Erik Walden (FA),27,19,3,4,2,0,0,0,15,90.6,6.0,0.0%
80,2011,Erik Walden (FA),40,19,3,2,0,0,1,1,16,114.7,7.2,0.0%
141,2010,Erik Walden (FA),18,3,3,1,0,0,0,0,11,50.4,4.6,0.0%
275,2009,Erik Walden (FA),0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
262,2008,Erik Walden (FA),0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
