Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
279,2019,Frank Zombo (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,3.0%
253,2018,Frank Zombo (FA),0,0,0,0,0,0,0,0,9,0.0,0.0,3.0%
111,2017,Frank Zombo (FA),22,17,1.5,0,0,0,1,0,16,66.1,4.1,3.0%
107,2016,Frank Zombo (FA),28,11,1,2,0,1,0,0,16,69.0,4.3,3.0%
159,2015,Frank Zombo (FA),8,2,3,0,0,1,0,0,16,34.6,2.2,3.0%
197,2014,Frank Zombo (FA),1,0,0,0,0,0,2,0,16,9.5,0.6,3.0%
128,2013,Frank Zombo (FA),20,3,2,2,1,1,1,0,16,56.4,3.5,3.0%
203,2012,Frank Zombo (FA),4,2,0,0,0,0,0,0,7,7.6,1.1,3.0%
176,2011,Frank Zombo (FA),7,2,1,0,0,0,0,0,5,18.6,3.7,3.0%
100,2010,Frank Zombo (FA),28,10,4,0,0,2,0,0,13,86.2,6.6,3.0%
