Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
395,2019,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
337,2018,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
364,2017,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
346,2016,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
333,2015,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
336,2014,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
317,2013,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
327,2012,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
295,2011,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
224,2010,Garrison Sanborn (FA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
301,2009,Garrison Sanborn (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
