Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
442,2021,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
326,2020,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
324,2019,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
327,2018,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
338,2017,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
358,2016,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
351,2015,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
344,2014,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
336,2013,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
338,2012,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
305,2011,Jake McQuaide (DAL),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
