Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
180,2015,James Anderson (FA),11,5,0,0,0,0,0,0,6,20.3,3.4,0.0%
286,2014,James Anderson (FA),0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
29,2013,James Anderson (FA),84,18,4,3,0,0,1,0,16,189.3,11.8,0.0%
89,2012,James Anderson (FA),38,34,0,2,0,0,0,0,12,93.4,7.8,0.0%
6,2011,James Anderson (FA),98,47,1.5,9,2,0,3,0,16,246.8,15.4,0.0%
4,2010,James Anderson (FA),98,28,3.5,5,1,2,3,0,16,247.3,15.5,0.0%
105,2009,James Anderson (FA),40,18,1,1,0,0,1,0,16,90.7,5.7,0.0%
211,2008,James Anderson (FA),2,0,0,0,0,0,0,0,8,3.0,0.4,0.0%
152,2007,James Anderson (FA),9,3,0,0,0,0,0,0,10,15.8,1.6,0.0%
144,2006,James Anderson (FA),14,3,2,3,0,2,0,0,16,43.8,2.7,0.0%
