Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
123,2015,Jared Allen (FA),19,13,2,3,1,0,0,0,15,66.1,4.4,0.0%
61,2014,Jared Allen (FA),38,19,5.5,4,0,2,2,0,15,132.9,8.9,0.0%
46,2013,Jared Allen (FA),33,19,11.5,6,0,2,0,0,16,159.7,10.0,0.0%
42,2012,Jared Allen (FA),36,10,12,3,0,1,1,0,16,164.7,10.3,0.0%
2,2011,Jared Allen (FA),47,18,22,3,1,4,4,0,16,266.4,16.7,0.0%
24,2010,Jared Allen (FA),45,15,11,6,2,1,1,1,16,191.0,11.9,0.0%
8,2009,Jared Allen (FA),43,8,14.5,4,1,5,3,1,16,225.3,14.1,0.0%
18,2008,Jared Allen (FA),41,13,14.5,3,0,3,0,0,16,196.0,12.3,0.0%
12,2007,Jared Allen (FA),56,9,15.5,11,0,3,0,0,14,189.1,13.5,0.0%
19,2006,Jared Allen (FA),64,12,7.5,10,1,3,6,0,16,191.3,12.0,0.0%
32,2005,Jared Allen (FA),51,7,11,5,0,7,2,0,16,169.4,10.6,0.0%
85,2004,Jared Allen (FA),29,2,9,0,0,0,0,0,15,111.1,7.4,0.0%
