Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
296,2015,Jason Babin (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
137,2014,Jason Babin (FA),14,11,2,0,0,0,0,0,16,45.1,2.8,0.0%
72,2013,Jason Babin (FA),31,9,7.5,0,0,3,0,0,16,120.6,7.5,0.0%
76,2012,Jason Babin (FA),28,9,7,0,0,4,1,0,16,116.9,7.3,0.0%
33,2011,Jason Babin (FA),35,5,18,1,0,3,0,0,16,184.4,11.5,0.0%
39,2010,Jason Babin (FA),44,14,12.5,0,0,2,0,0,16,174.8,10.9,0.0%
158,2009,Jason Babin (FA),9,5,2.5,0,0,0,0,0,12,37.5,3.1,0.0%
119,2008,Jason Babin (FA),26,6,2,0,0,0,0,0,9,59.2,6.6,0.0%
266,2007,Jason Babin (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
134,2006,Jason Babin (FA),19,6,5,0,0,0,0,0,15,53.3,3.6,0.0%
103,2005,Jason Babin (FA),26,11,4,2,0,2,0,0,12,82.2,6.9,0.0%
52,2004,Jason Babin (FA),51,12,4,5,0,0,2,0,16,149.9,9.4,0.0%
