Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
423,2021,Jason Pierre-Paul (FA),20,11,2.5,4,0,1,0,0,13,0.0,0.0,1.1%
307,2020,Jason Pierre-Paul (FA),34,21,9.5,6,2,4,2,0,16,0.0,0.0,1.1%
277,2019,Jason Pierre-Paul (FA),22,3,8.5,2,0,2,0,0,11,0.0,0.0,1.1%
265,2018,Jason Pierre-Paul (FA),48,10,12.5,2,0,1,1,0,16,0.0,0.0,1.1%
271,2017,Jason Pierre-Paul (FA),48,20,8.5,5,0,2,0,0,16,0.0,0.0,1.1%
292,2016,Jason Pierre-Paul (FA),35,18,7,8,0,3,1,1,12,0.0,0.0,1.1%
301,2015,Jason Pierre-Paul (FA),21,5,1,6,0,0,2,0,8,0.0,0.0,1.1%
318,2014,Jason Pierre-Paul (FA),54,22,12.5,6,0,3,1,0,16,0.0,0.0,1.1%
315,2013,Jason Pierre-Paul (FA),20,7,2,4,1,0,0,1,11,0.0,0.0,1.1%
281,2012,Jason Pierre-Paul (FA),43,23,6.5,5,1,1,1,1,16,0.0,0.0,1.1%
262,2011,Jason Pierre-Paul (FA),66,20,16.5,7,0,2,0,0,16,0.0,0.0,1.1%
266,2010,Jason Pierre-Paul (FA),17,4,4.5,6,0,2,2,0,16,0.0,0.0,1.1%
