Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
294,2016,Jason Trusnik (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
234,2015,Jason Trusnik (FA),2,1,0,0,0,0,0,0,8,3.8,0.5,0.0%
111,2014,Jason Trusnik (FA),25,13,0,2,1,0,2,0,16,71.0,4.4,0.0%
163,2013,Jason Trusnik (FA),12,5,0,0,0,0,0,0,16,24.5,1.5,0.0%
178,2012,Jason Trusnik (FA),7,6,0,0,0,0,0,0,16,17.6,1.1,0.0%
215,2011,Jason Trusnik (FA),2,2,0,0,0,0,0,0,16,4.6,0.3,0.0%
167,2010,Jason Trusnik (FA),13,2,1,1,0,0,0,0,16,29.1,1.8,0.0%
92,2009,Jason Trusnik (FA),43,11,2.5,1,0,0,1,0,16,103.6,6.5,0.0%
186,2008,Jason Trusnik (FA),2,2,0,0,0,0,1,0,7,8.5,1.2,0.0%
253,2007,Jason Trusnik (FA),0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
