Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
295,2014,John Abraham (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
51,2013,John Abraham (FA),31,6,11.5,3,0,4,0,0,16,152.6,9.5,0.0%
50,2012,John Abraham (FA),32,3,10,8,0,6,0,0,16,156.4,9.8,0.0%
60,2011,John Abraham (FA),25,10,9.5,2,0,4,1,0,15,131.3,8.8,0.0%
40,2010,John Abraham (FA),36,5,13,4,1,2,0,0,15,174.0,11.6,0.0%
102,2009,John Abraham (FA),30,5,5.5,1,0,1,0,0,16,91.5,5.7,0.0%
22,2008,John Abraham (FA),37,1,16.5,1,0,4,0,0,16,189.8,11.9,0.0%
39,2007,John Abraham (FA),31,1,10,4,0,4,0,0,16,111.8,7.0,0.0%
130,2006,John Abraham (FA),15,3,4,1,0,4,0,0,8,58.3,7.3,0.0%
45,2005,John Abraham (FA),44,14,10.5,2,0,6,1,0,16,149.8,9.4,0.0%
49,2004,John Abraham (FA),35,14,9.5,2,0,3,1,0,11,152.7,13.9,0.0%
102,2003,John Abraham (FA),24,8,6,0,0,1,0,0,7,90.1,12.9,0.0%
53,2002,John Abraham (FA),48,13,10,2,0,1,0,0,16,156.7,9.8,0.0%
