Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
385,2019,Jon Condo (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
339,2018,Jon Condo (FA),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
348,2017,Jon Condo (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
335,2016,Jon Condo (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
230,2015,Jon Condo (FA),0,0,0,0,0,0,1,0,13,4.0,0.3,0.0%
216,2014,Jon Condo (FA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
320,2013,Jon Condo (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
219,2012,Jon Condo (FA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
314,2011,Jon Condo (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
223,2010,Jon Condo (FA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
298,2009,Jon Condo (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
290,2008,Jon Condo (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
274,2007,Jon Condo (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
285,2005,Jon Condo (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
