Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
332,2016,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
321,2015,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
326,2014,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
333,2013,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
334,2012,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
311,2011,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
326,2010,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
295,2009,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
287,2008,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
272,2007,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
289,2006,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
283,2005,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
288,2004,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
274,2003,Jon Dorenbos (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
