Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
470,2021,Jon Weeks (HOU),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
364,2020,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
389,2019,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
342,2018,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
351,2017,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
325,2016,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
231,2015,Jon Weeks (HOU),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
331,2014,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
323,2013,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
322,2012,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
301,2011,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
329,2010,Jon Weeks (HOU),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
