Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
228,2013,Jonathan Vilma (FA),1,0,0,0,0,0,0,0,1,1.5,1.5,0.0%
108,2012,Jonathan Vilma (FA),20,17,1,2,1,0,0,1,11,73.5,6.7,0.0%
94,2011,Jonathan Vilma (FA),36,18,0,2,0,1,3,1,11,95.2,8.7,0.0%
28,2010,Jonathan Vilma (FA),70,35,4,3,1,3,1,0,16,188.3,11.8,0.0%
17,2009,Jonathan Vilma (FA),87,23,2,8,3,0,0,0,15,208.1,13.9,0.0%
8,2008,Jonathan Vilma (FA),98,34,1,6,1,2,3,0,16,220.9,13.8,0.0%
80,2007,Jonathan Vilma (FA),31,11,0,4,1,0,0,0,7,66.0,9.4,0.0%
42,2006,Jonathan Vilma (FA),69,48,0,4,1,1,1,0,16,158.9,9.9,0.0%
1,2005,Jonathan Vilma (FA),128,45,0.5,6,1,4,1,0,16,269.6,16.9,0.0%
20,2004,Jonathan Vilma (FA),75,30,2,5,3,0,1,1,16,196.0,12.3,0.0%
