Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
105,2012,Keith Brooking (FA),33,21,1,0,0,1,0,0,16,76.1,4.8,0.0%
108,2011,Keith Brooking (FA),34,16,0,2,0,0,0,0,15,71.1,4.7,0.0%
48,2010,Keith Brooking (FA),73,24,1,7,1,0,0,0,16,157.3,9.8,0.0%
34,2009,Keith Brooking (FA),75,31,3,7,0,0,0,0,15,176.1,11.7,0.0%
70,2008,Keith Brooking (FA),58,22,0,4,0,0,0,0,12,114.7,9.6,0.0%
67,2007,Keith Brooking (FA),41,12,1,2,0,0,0,0,8,77.6,9.7,0.0%
18,2006,Keith Brooking (FA),97,41,2.5,1,0,0,1,0,16,192.0,12.0,0.0%
9,2005,Keith Brooking (FA),89,26,3.5,10,4,0,1,0,16,206.4,12.9,0.0%
23,2004,Keith Brooking (FA),86,16,2.5,6,3,2,1,0,16,192.3,12.0,0.0%
9,2003,Keith Brooking (FA),126,18,0,3,0,0,2,0,16,230.3,14.4,0.0%
17,2002,Keith Brooking (FA),111,29,0,2,2,1,2,0,16,218.6,13.7,0.0%
