Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
279,2011,Kevin Bentley (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
108,2010,Kevin Bentley (FA),32,19,0,1,1,0,1,0,12,80.5,6.7,0.0%
228,2009,Kevin Bentley (FA),1,0,0,0,0,0,0,0,14,1.5,0.1,0.0%
120,2008,Kevin Bentley (FA),20,12,1,1,0,0,1,0,11,58.8,5.3,0.0%
170,2007,Kevin Bentley (FA),5,2,0,0,0,0,0,0,5,9.1,1.8,0.0%
156,2006,Kevin Bentley (FA),7,3,0,3,0,1,1,0,12,25.3,2.1,0.0%
158,2005,Kevin Bentley (FA),18,4,0,1,0,0,0,0,10,31.6,3.2,0.0%
124,2004,Kevin Bentley (FA),35,16,0,0,0,1,0,0,15,73.9,4.9,0.0%
84,2003,Kevin Bentley (FA),55,36,0,2,1,0,0,0,16,120.4,7.5,0.0%
136,2002,Kevin Bentley (FA),20,14,0,1,0,0,2,0,10,50.2,5.0,0.0%
