Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
119,2014,Lance Briggs (FA),24,10,0,3,1,1,0,0,8,62.2,7.8,0.0%
57,2013,Lance Briggs (FA),51,20,3,6,0,2,0,0,9,145.7,16.2,0.0%
22,2012,Lance Briggs (FA),74,29,1.5,11,2,2,0,2,16,203.0,12.7,0.0%
32,2011,Lance Briggs (FA),86,19,0,4,1,2,0,0,16,185.1,11.6,0.0%
30,2010,Lance Briggs (FA),76,13,2,7,2,2,1,0,15,184.4,12.3,0.0%
21,2009,Lance Briggs (FA),93,25,2.5,5,1,0,0,0,15,198.4,13.2,0.0%
7,2008,Lance Briggs (FA),90,20,0.5,11,3,1,2,1,16,221.9,13.9,0.0%
20,2007,Lance Briggs (FA),84,19,2,3,0,2,1,0,14,165.1,11.8,0.0%
4,2006,Lance Briggs (FA),113,21,1,9,2,4,1,0,16,233.0,14.6,0.0%
10,2005,Lance Briggs (FA),85,24,2,11,2,3,2,1,16,206.4,12.9,0.0%
9,2004,Lance Briggs (FA),103,24,0.5,10,1,0,0,1,16,223.4,14.0,0.0%
78,2003,Lance Briggs (FA),62,13,0,4,1,0,0,1,16,132.4,8.3,0.0%
