Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
168,2012,Mario Haggan (FA),8,2,1,0,0,1,0,0,11,24.1,2.2,0.0%
141,2011,Mario Haggan (FA),12,9,0,1,1,0,0,1,16,44.9,2.8,0.0%
36,2010,Mario Haggan (FA),75,12,5,1,0,2,1,0,16,180.2,11.3,0.0%
80,2009,Mario Haggan (FA),45,10,1,1,0,3,0,0,16,115.4,7.2,0.0%
153,2008,Mario Haggan (FA),13,2,1,0,0,0,0,0,8,30.1,3.8,0.0%
135,2007,Mario Haggan (FA),10,3,1,0,0,0,0,0,16,21.4,1.3,0.0%
243,2006,Mario Haggan (FA),0,1,0,0,0,0,0,0,16,0.8,0.1,0.0%
209,2005,Mario Haggan (FA),3,2,0,0,0,0,0,0,14,6.1,0.4,0.0%
241,2004,Mario Haggan (FA),1,1,0,0,0,0,0,0,12,2.3,0.2,0.0%
270,2003,Mario Haggan (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
