Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
479,2021,Matt Overton (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
365,2020,Matt Overton (FA),0,0,0,0,0,0,0,0,9,0.0,0.0,0.0%
379,2019,Matt Overton (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
344,2018,Matt Overton (FA),0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
359,2017,Matt Overton (FA),0,0,0,0,0,0,0,0,9,0.0,0.0,0.0%
340,2016,Matt Overton (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
313,2015,Matt Overton (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
333,2014,Matt Overton (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
325,2013,Matt Overton (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
323,2012,Matt Overton (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
