Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
420,2021,Melvin Ingram III (MIA),12,13,2,1,0,1,0,0,15,0.0,0.0,0.4%
306,2020,Melvin Ingram III (MIA),5,5,0,2,1,0,0,0,7,0.0,0.0,0.4%
275,2019,Melvin Ingram III (MIA),39,9,7,5,1,0,1,0,13,0.0,0.0,0.4%
251,2018,Melvin Ingram III (MIA),28,15,7,3,1,1,1,0,16,0.0,0.0,0.4%
252,2017,Melvin Ingram III (MIA),43,13,10.5,1,0,1,2,1,16,0.0,0.0,0.4%
160,2016,Melvin Ingram III (MIA),46,14,8,5,0,4,0,0,16,28.8,1.8,0.4%
174,2015,Melvin Ingram III (MIA),52,13,10.5,6,0,3,1,0,16,22.3,1.4,0.4%
311,2014,Melvin Ingram III (MIA),21,8,4,1,0,2,0,0,9,0.0,0.0,0.4%
283,2013,Melvin Ingram III (MIA),4,4,1,0,0,1,0,0,4,0.0,0.0,0.4%
313,2012,Melvin Ingram III (MIA),16,13,1,5,0,1,0,0,16,0.0,0.0,0.4%
