Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
387,2019,Mike Windt (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
340,2018,Mike Windt (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
350,2017,Mike Windt (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
336,2016,Mike Windt (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
228,2015,Mike Windt (FA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
329,2014,Mike Windt (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
321,2013,Mike Windt (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
320,2012,Mike Windt (FA),0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
302,2011,Mike Windt (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
328,2010,Mike Windt (FA),0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
