Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
176,2013,Nick Barnett (FA),5,5,0,0,0,0,0,0,14,13.9,1.0,0.0%
35,2012,Nick Barnett (FA),72,40,2,1,0,3,0,0,16,174.9,10.9,0.0%
12,2011,Nick Barnett (FA),78,52,3,5,3,1,0,1,16,223.5,14.0,0.0%
160,2010,Nick Barnett (FA),18,6,0,1,0,0,0,0,4,35.5,8.9,0.0%
19,2009,Nick Barnett (FA),83,23,4,7,0,0,0,0,16,198.5,12.4,0.0%
100,2008,Nick Barnett (FA),41,8,0,2,0,1,0,0,9,82.3,9.1,0.0%
4,2007,Nick Barnett (FA),102,29,3.5,4,2,0,1,0,16,216.5,13.5,0.0%
43,2006,Nick Barnett (FA),61,44,2,8,2,0,1,0,15,158.9,10.6,0.0%
8,2005,Nick Barnett (FA),92,47,1,2,1,1,3,1,16,210.2,13.1,0.0%
13,2004,Nick Barnett (FA),91,30,3,6,1,0,1,0,16,214.3,13.4,0.0%
33,2003,Nick Barnett (FA),84,25,2,6,3,0,1,0,15,193.5,12.9,0.0%
