Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
158,2013,Paris Lenon (FA),14,6,0,2,0,0,0,0,14,28.6,2.0,0.0%
40,2012,Paris Lenon (FA),74,30,2,3,1,1,1,0,16,166.8,10.4,0.0%
46,2011,Paris Lenon (FA),64,29,3,3,0,0,1,0,16,151.2,9.5,0.0%
14,2010,Paris Lenon (FA),94,31,2,6,2,1,0,0,16,225.6,14.1,0.0%
123,2009,Paris Lenon (FA),34,6,0,1,0,3,0,0,15,71.6,4.8,0.0%
17,2008,Paris Lenon (FA),81,41,1.5,3,0,2,2,0,16,196.6,12.3,0.0%
15,2007,Paris Lenon (FA),86,30,2,3,1,2,0,1,16,183.4,11.5,0.0%
82,2006,Paris Lenon (FA),51,20,0,3,1,0,2,0,16,109.3,6.8,0.0%
91,2005,Paris Lenon (FA),36,24,1.5,6,0,1,0,0,16,91.3,5.7,0.0%
181,2004,Paris Lenon (FA),15,6,0,1,0,0,0,0,14,28.5,2.0,0.0%
188,2003,Paris Lenon (FA),4,4,0,0,0,0,0,0,12,9.1,0.8,0.0%
197,2002,Paris Lenon (FA),3,0,0,0,0,0,0,0,10,4.5,0.5,0.0%
