Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
91,2012,Ray Lewis (FA),44,13,1,1,0,1,1,0,6,91.9,15.3,0.0%
37,2011,Ray Lewis (FA),72,23,2,7,1,2,0,0,12,164.5,13.7,0.0%
7,2010,Ray Lewis (FA),102,37,2,4,2,2,3,1,16,241.2,15.1,0.0%
5,2009,Ray Lewis (FA),95,39,3,8,0,2,1,0,16,232.9,14.6,0.0%
20,2008,Ray Lewis (FA),69,26,3.5,6,3,1,2,0,13,193.4,14.9,0.0%
50,2007,Ray Lewis (FA),46,20,0,5,1,0,0,0,8,96.6,12.1,0.0%
23,2006,Ray Lewis (FA),80,23,5,8,2,1,1,0,14,187.5,13.4,0.0%
107,2005,Ray Lewis (FA),38,8,1,2,1,0,1,0,6,79.1,13.2,0.0%
6,2004,Ray Lewis (FA),101,46,1,6,0,1,2,0,15,229.1,15.3,0.0%
1,2003,Ray Lewis (FA),121,42,1.5,14,6,2,2,1,16,309.7,19.4,0.0%
95,2002,Ray Lewis (FA),43,15,0,3,2,1,1,0,5,105.9,21.2,0.0%
