Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
15,2021,Robert Quinn (CHI),38,11,18.5,0,0,4,0,0,16,203.4,12.7,22.9%
123,2020,Robert Quinn (CHI),14,6,2,0,0,3,1,0,15,49.8,3.3,22.9%
55,2019,Robert Quinn (CHI),26,8,11.5,3,0,2,0,0,14,136.2,9.7,22.9%
72,2018,Robert Quinn (CHI),25,13,6.5,0,0,2,0,0,16,104.1,6.5,22.9%
74,2017,Robert Quinn (CHI),21,11,8.5,1,0,2,0,0,15,106.1,7.1,22.9%
130,2016,Robert Quinn (CHI),8,2,4,2,0,2,0,0,9,45.6,5.1,22.9%
126,2015,Robert Quinn (CHI),13,8,5,3,0,3,0,0,8,63.5,7.9,22.9%
29,2014,Robert Quinn (CHI),39,7,10.5,6,0,5,0,0,16,167.4,10.5,22.9%
7,2013,Robert Quinn (CHI),50,7,19,1,0,7,2,1,16,257.5,16.1,22.9%
78,2012,Robert Quinn (CHI),24,5,10.5,2,0,1,0,0,16,116.4,7.3,22.9%
118,2011,Robert Quinn (CHI),19,3,5,2,0,0,0,0,15,66.3,4.4,22.9%
