Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
156,2020,Sean Lee (FA),11,9,0,0,0,0,0,0,9,23.5,2.6,0.0%
59,2019,Sean Lee (FA),55,31,1,4,1,0,0,0,16,131.1,8.2,0.0%
133,2018,Sean Lee (FA),15,15,0.5,1,0,0,1,0,7,43.9,6.3,0.0%
28,2017,Sean Lee (FA),70,31,0,1,1,0,0,0,11,167.5,15.2,0.0%
9,2016,Sean Lee (FA),93,52,0,1,0,0,1,0,15,214.5,14.3,0.0%
13,2015,Sean Lee (FA),76,52,2.5,5,1,0,0,0,14,203.2,14.5,0.0%
41,2013,Sean Lee (FA),68,31,0,6,4,0,1,1,11,172.1,15.6,0.0%
92,2012,Sean Lee (FA),36,22,0,3,1,1,0,0,6,91.5,15.3,0.0%
26,2011,Sean Lee (FA),69,33,0,7,4,0,2,0,15,192.0,12.8,0.0%
129,2010,Sean Lee (FA),19,3,0,2,2,1,0,1,14,61.4,4.4,0.0%
