Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
276,2019,Vincent Rey (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
171,2018,Vincent Rey (FA),8,6,0,0,0,0,0,0,16,19.1,1.2,0.0%
69,2017,Vincent Rey (FA),52,32,0,1,1,0,0,0,14,111.3,8.0,0.0%
65,2016,Vincent Rey (FA),48,31,0,7,1,0,1,0,16,117.7,7.4,0.0%
46,2015,Vincent Rey (FA),62,33,1,5,1,0,0,0,16,142.1,8.9,0.0%
48,2014,Vincent Rey (FA),61,60,0,5,0,0,0,0,16,146.9,9.2,0.0%
74,2013,Vincent Rey (FA),30,17,4,5,2,1,1,1,16,118.0,7.4,0.0%
170,2012,Vincent Rey (FA),8,4,1,1,0,0,0,0,16,23.0,1.4,0.0%
286,2011,Vincent Rey (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
307,2010,Vincent Rey (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
