Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
116,2021,Whitney Mercilus (FA),9,8,4,0,0,0,0,0,11,48.4,4.4,0.2%
111,2020,Whitney Mercilus (FA),12,9,4,1,0,0,1,0,13,58.9,4.5,0.2%
47,2019,Whitney Mercilus (FA),33,15,7.5,2,2,4,1,0,16,146.6,9.2,0.2%
87,2018,Whitney Mercilus (FA),22,17,4,0,0,2,0,0,16,82.6,5.2,0.2%
166,2017,Whitney Mercilus (FA),9,1,1,0,0,1,0,0,5,24.8,5.0,0.2%
44,2016,Whitney Mercilus (FA),36,17,7.5,1,0,1,4,0,15,151.0,10.1,0.2%
36,2015,Whitney Mercilus (FA),32,18,12,2,0,1,1,0,16,155.9,9.7,0.2%
76,2014,Whitney Mercilus (FA),31,19,5,0,0,2,0,0,15,111.5,7.4,0.2%
86,2013,Whitney Mercilus (FA),33,14,7,0,0,0,0,0,16,103.3,6.5,0.2%
102,2012,Whitney Mercilus (FA),15,3,6,1,0,2,1,0,16,77.4,4.8,0.2%
