Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
125,2013,Ben Hartsock (FA),0,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
89,2012,Ben Hartsock (FA),2,3,30,15.0,25,1,0,0,0,0,0,15,3.0,0.2,0.0%
123,2011,Ben Hartsock (FA),0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
102,2010,Ben Hartsock (FA),1,3,7,7.0,7,0,0,0,0,0,0,16,0.7,0.0,0.0%
75,2009,Ben Hartsock (FA),1,4,2,2.0,2,0,1,0,0,0,0,16,6.2,0.4,0.0%
81,2008,Ben Hartsock (FA),3,0,26,8.7,17,0,0,0,0,0,0,11,2.6,0.2,0.0%
49,2007,Ben Hartsock (FA),12,0,138,11.5,27,0,0,0,0,0,0,16,13.8,0.9,0.0%
76,2006,Ben Hartsock (FA),6,0,68,11.3,23,0,0,0,0,0,0,6,6.8,1.1,0.0%
96,2005,Ben Hartsock (FA),2,0,8,4.0,7,0,0,0,0,0,0,5,0.8,0.2,0.0%
89,2004,Ben Hartsock (FA),4,8,33,8.3,17,0,0,0,0,0,0,6,3.3,0.6,0.0%
