Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
41,2015,Billy Cundiff (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
26,2014,Billy Cundiff (FA),22,29,75.9,52,0,6,10,5,1,28,28,13,101.0,7.8,0.0%
30,2013,Billy Cundiff (FA),21,26,80.8,51,0,7,5,7,2,32,32,16,106.0,6.6,0.0%
33,2012,Billy Cundiff (FA),7,12,58.3,45,0,1,3,3,0,17,17,5,41.0,8.2,0.0%
12,2011,Billy Cundiff (FA),28,37,75.7,51,1,9,10,7,1,38,38,15,131.0,8.7,0.0%
16,2010,Billy Cundiff (FA),26,29,89.7,49,0,8,4,4,0,39,39,16,91.0,5.7,0.0%
29,2009,Billy Cundiff (FA),18,23,78.3,46,0,0,0,0,0,23,23,12,23.0,1.9,0.0%
40,2006,Billy Cundiff (FA),0,1,0.0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
34,2005,Billy Cundiff (FA),5,8,62.5,56,0,0,0,0,0,14,14,6,14.0,2.3,0.0%
20,2004,Billy Cundiff (FA),20,26,76.9,49,0,0,0,0,0,31,31,16,31.0,1.9,0.0%
19,2003,Billy Cundiff (FA),23,29,79.3,52,0,0,0,0,0,30,30,15,30.0,2.0,0.0%
28,2002,Billy Cundiff (FA),12,19,63.2,48,0,0,0,0,0,25,25,16,25.0,1.6,0.0%
