Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
60,2021,Brian Hoyer (NE),9,11,81.8,227,20.6,1,0,0,11,-8,0,0,5,12.3,2.5,0.0%
67,2020,Brian Hoyer (NE),15,24,62.5,130,5.4,0,1,2,1,8,0,1,1,3.0,3.0,0.0%
48,2019,Brian Hoyer (NE),35,65,53.8,372,5.7,4,4,5,8,2,0,1,5,25.1,5.0,0.0%
75,2018,Brian Hoyer (NE),1,2,50.0,7,3.5,0,0,0,11,-8,0,0,5,-0.5,-0.1,0.0%
37,2017,Brian Hoyer (NE),123,211,58.3,"1,287",6.1,4,4,16,9,4,1,1,11,64.0,5.8,0.0%
31,2016,Brian Hoyer (NE),134,200,67.0,"1,445",7.2,6,0,4,7,-2,0,1,6,79.7,13.3,0.0%
25,2015,Brian Hoyer (NE),224,369,60.7,"2,606",7.1,19,7,25,15,44,0,2,11,166.6,15.1,0.0%
25,2014,Brian Hoyer (NE),242,438,55.3,"3,326",7.6,12,13,24,24,39,0,1,14,157.0,11.2,0.0%
42,2013,Brian Hoyer (NE),57,96,59.4,615,6.4,5,3,6,6,16,0,0,3,40.2,13.4,0.0%
45,2012,Brian Hoyer (NE),30,53,56.6,330,6.2,1,2,4,1,6,0,0,2,13.8,6.9,0.0%
69,2011,Brian Hoyer (NE),1,1,100.0,22,22.0,0,0,0,4,-3,0,0,3,0.6,0.2,0.0%
59,2010,Brian Hoyer (NE),7,15,46.7,122,8.1,1,1,0,10,-8,0,0,5,6.1,1.2,0.0%
51,2009,Brian Hoyer (NE),19,27,70.4,142,5.3,0,0,2,10,25,1,0,5,14.2,2.8,0.0%
