Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
113,2012,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
124,2011,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
114,2010,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
105,2009,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
106,2008,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
107,2007,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
111,2006,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
109,2005,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
114,2004,Brian Jennings (FA),0,1,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
106,2003,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
109,2002,Brian Jennings (FA),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
